FIPS,Income,DSCI,PQ1,PQ2,PQ3,PQ4,TQ1,TQ2,TQ3,TQ4,Forest,Agriculture,Watershed,Biomass,Power,Water Availability
51021,0.118442903,0.129918509,0.357996716,0.408425084,0.355310683,0.373594771,0.443537415,0.314678236,0.279310345,0.338735632,0.777309017,0.054449784,0,29924,0,595.9312915
51023,0.149779289,0.110620915,0.249655172,0.355289612,0.318885828,0.310065359,0.42469911,0.373101952,0.334051724,0.345862069,0.749671507,0.082781714,1,38891,0,386.5310575
51025,0.702974869,0.132096495,0.192873563,0.363204085,0.354637282,0.357810458,0.542124542,0.665365148,0.745114943,0.563563218,0.715015634,0.07522565,0,161420,40338.339,506.9769727
51027,0.391626903,0.134774805,0.155073892,0.41238232,0.309733701,0.345882353,0.453061224,0.475488069,0.497126437,0.423563218,0.889480342,0.001733947,0,11074,0,319.8375697
51029,0.111129936,0.148214822,0.320656814,0.451635551,0.41046832,0.419183007,0.486865515,0.383658713,0.33045977,0.392528736,0.740311958,0.08261441,1,155610,48512,729.6934096
51031,0.254414051,0.155044742,0.253103448,0.38372427,0.338842975,0.414771242,0.543380429,0.560520607,0.542672414,0.483563218,0.608640976,0.164863907,0,188220,484382.31,592.7234617
51033,0.21368304,0.123942927,0.257931034,0.373607787,0.390388736,0.405065359,0.662271062,0.76109906,0.778304598,0.632528736,0.622195963,0.136588427,1,102480,0,155.7397633
51035,0.192494737,0.144378886,0.32,0.284697622,0.333884298,0.392156863,0.651072737,0.686912509,0.805747126,0.721034483,0.63368988,0.084686599,0,34814,74744,508.0975602
51036,0.303285831,0.116829884,0.306962233,0.353247168,0.500061218,0.364379085,0.769544741,0.828922632,0.837212644,0.75770115,0.512239449,0.153189539,1,43268,66466.438,321.8758616
51037,0.397302137,0.109993905,0.297832512,0.381203128,0.444781145,0.384477124,0.73458922,0.826753435,0.857758621,0.731379311,0.652536221,0.136965102,0,202770,26853,635.7413456
51041,0.141136691,0.11375515,0.23589491,0.398595819,0.323048669,0.352810458,0.441758242,0.422704266,0.382614943,0.374022989,0.548452525,0.034519194,1,74882,75973.897,273.5205885
51043,0.06692044,0.12019805,0.515041051,0.40239349,0.360361188,0.467875817,0.560544218,0.531742589,0.498706897,0.467816092,0.38947883,0.226462696,1,13113,16955,616.6908352
51045,0.18379924,0.131102991,0.217339901,0.370735599,0.329445975,0.378660131,0.624803768,0.711062907,0.728017241,0.583448276,0.859874082,0.052224805,1,8634.3,0,284.5747813
51047,0.193906576,0.096135038,0.119244663,0.367065582,0.276461586,0.26624183,0.422605965,0.432682574,0.450431035,0.385862069,0.467170739,0.247222016,1,39094,0,180.841187
51051,0.296547608,0.167487096,0.251264368,0.343034945,0.336822773,0.394444444,0.647933019,0.721041215,0.719252874,0.58908046,0.847149155,0.00581712,0,73061,0,208.8033626
51053,0.070769935,0.140394833,0.30771757,0.358321366,0.458463422,0.375522876,0.737938252,0.80592914,0.813793103,0.699425287,0.656144042,0.119246266,0,78995,0,111.5956932
51057,0.315689996,0.133180334,0.155073892,0.338056486,0.287297215,0.319705882,0.58440607,0.681995662,0.730028736,0.565747127,0.491186667,0.237377627,1,48885,41385,124.541686
51059,0.446021653,0.151191988,0.216880131,0.380022339,0.304040404,0.373006536,0.574986918,0.623138106,0.629454023,0.532643678,0.352106331,0.00961464,1,185410,332593.33,1483.892189
51061,0.056850992,0.167550665,0.233793103,0.342332855,0.304254668,0.396601307,0.628571429,0.683586406,0.670833333,0.564367816,0.487013418,0.18356487,1,39828,35725,1492.410736
51063,0.32605325,0.12703005,0.260591133,0.362278602,0.371625344,0.405261438,0.64678179,0.736804049,0.80387931,0.666321839,0.656269041,0.081056623,0,22617,0,405.5450885
51065,0.590821261,0.127647656,0.181642036,0.347853838,0.308784818,0.338235294,0.533333333,0.645553145,0.719109195,0.543793104,0.730826132,0.088714508,1,25191,11417,302.9499933
51067,0.169360598,0.16371699,0.268308703,0.397032073,0.337159474,0.412745098,0.608581894,0.626174982,0.593965517,0.526321839,0.664286277,0.121826793,0,187100,0,504.8376436
51069,0.112919933,0.195996777,0.277931034,0.362438168,0.319406183,0.384281046,0.666771324,0.70296457,0.703304598,0.594022989,0.572242503,0.125255674,1,34723,11674,802.5823144
51071,0.127048328,0.14911139,0.297832512,0.402265837,0.345087236,0.446078431,0.55855573,0.582646421,0.561350575,0.483103448,0.81192793,0.030134817,0,33826,0,635.1539194
51073,0.103257237,0.174112746,0.261871921,0.316100207,0.317447199,0.384215686,0.679748823,0.725813449,0.732471264,0.61954023,0.4653355,0.117256385,1,50336,40126,168.6772407
51075,0.214033319,0.150504302,0.274975369,0.413626935,0.321732476,0.42375817,0.596860282,0.63340564,0.610632184,0.52,0.653730528,0.117945266,1,15529,9706,493.128322
51077,0.343726611,0.108167764,0.29635468,0.364065741,0.443771044,0.378202614,0.750915751,0.835864064,0.872844828,0.761034483,0.665733924,0.06799286,0,84813,17907,492.4309497
51079,0.085510961,0.189159803,0.292479475,0.313355673,0.348699112,0.378562092,0.712611198,0.769486623,0.78204023,0.659195402,0.668775808,0.096645132,1,4926.6,0,95.86805721
51081,0.18227088,0.170831389,0.257011494,0.335918302,0.321885522,0.38748366,0.670957614,0.733477947,0.734626437,0.610574713,0.516607519,0.154258528,0,295170,250519.61,68.72298131
51083,0.180619565,0.117508165,0.309261084,0.382447742,0.486501377,0.370359477,0.751020408,0.832104122,0.847557471,0.737011494,0.636051166,0.106835862,0,126830,365777.003,1124.106025
51085,0.10901039,0.120935017,0.291921182,0.348811233,0.306121824,0.323071895,0.410151753,0.300072306,0.257614943,0.310114943,0.544642736,0.175271176,1,145730,57366,230.7914463
51087,0.210936567,0.119591747,0.283743842,0.38062869,0.426752372,0.380980392,0.731763475,0.823427332,0.849568966,0.715172414,0.318828219,0.087510917,1,65753,23882.89,425.9500337
51089,0.139132237,0.129904131,0.154876847,0.412222754,0.301499847,0.318660131,0.429618001,0.420535069,0.427729885,0.387701149,0.727755231,0.038714205,0,49500,13060,376.2094333
51091,0.086542496,0.131841586,0.449064039,0.372171693,0.348178757,0.411993464,0.588801674,0.561966739,0.517097701,0.492413793,0.794607485,0.027244681,1,39607,0,295.1152751
51095,0.133077415,0.177255933,0.293530378,0.385766715,0.355096419,0.42496732,0.656305599,0.687924801,0.666091954,0.575862069,0.4430049,0.064085245,1,14638,52,265.4023773
51097,0.15174371,0.126718896,0.264597701,0.372746131,0.309856137,0.374640523,0.487284144,0.502819957,0.474712644,0.41862069,0.598296859,0.172557503,1,43335,57587.482,150.3819838
51099,0.304252315,0.125693744,0.179671593,0.346322004,0.320048975,0.340196078,0.629408687,0.725958062,0.781178161,0.618735632,0.546012091,0.148928049,1,26175,67534,616.2198142
51101,0.117432813,0.17628594,0.280492611,0.378203287,0.338934803,0.405359477,0.646886447,0.676500362,0.661206897,0.569195402,0.499783049,0.201048625,1,56360,349745.878,63.40545697
51103,0.255880934,0.126846034,0.236978654,0.39690442,0.314722987,0.369477124,0.531344846,0.556471439,0.525718391,0.459195402,0.505534713,0.195414182,1,14837,228,58.95519
51105,0.505975116,0.119144594,0.276650246,0.376671454,0.410192837,0.395849673,0.693354265,0.787563268,0.810775862,0.669310345,0.657396751,0.109020924,0,44218,0,426.9549874
51107,0.176527735,0.129552919,0.262200328,0.42237115,0.304162841,0.345718954,0.243118786,0.193781634,0.158764368,0.189310345,0.359856246,0.153794775,1,80848,0,3814.549857
51109,0.445955886,0.129697238,0.164039409,0.380373384,0.284970921,0.336633987,0.497121926,0.563557484,0.605172414,0.477241379,0.660843195,0.114897156,1,148990,131470,132.0411339
51111,0.111345822,0.129113451,0.289162562,0.354587522,0.33415978,0.339901961,0.456410256,0.35010846,0.310488506,0.353448276,0.700998593,0.102223168,0,43951,0,87.45252191
51113,0.086586817,0.114938818,0.370935961,0.393649274,0.363973064,0.342222222,0.51711146,0.478235719,0.429454023,0.426206897,0.615654752,0.174280408,1,47151,0,152.090363
51115,0.131867166,0.118456547,0.362594417,0.415860858,0.354178145,0.358071895,0.411093668,0.293564714,0.254597701,0.315172414,0.224077007,0.094583716,1,6748.6,0,5.507963179
51117,0.149582703,0.123421353,0.168965517,0.407116643,0.285521886,0.295588235,0.428466771,0.415039769,0.400143678,0.381149425,0.590437331,0.114751905,0,83557,767178,1904.582839
51119,0.288691351,0.145223098,0.257405583,0.366778363,0.358004285,0.384934641,0.685190999,0.761966739,0.770689655,0.640689655,0.492954872,0.213187439,1,17293,79263,36.27907953
51121,0.07032458,0.174464953,0.32453202,0.333109941,0.402387511,0.379019608,0.738356881,0.798843095,0.806896552,0.689655173,0.642345045,0.070936219,0,90447,0,336.5337246
51125,0.222235566,0.142202618,0.1663711,0.394127972,0.299908173,0.334084967,0.53762428,0.604049168,0.641666667,0.504252874,0.793161131,0.05907651,1,41759,0,551.9593434
51127,0.31963814,0.117606277,0.300328407,0.351587682,0.396786042,0.390490196,0.705285191,0.785827911,0.849425287,0.729655173,0.549175275,0.095712305,1,21178,33968,273.4037535
51131,0.099350554,0.117188602,0.439573071,0.415892772,0.389929599,0.397124183,0.467713239,0.404627621,0.346264368,0.386091954,0.098323023,0.449593577,1,34196,37992,35.74900285
51133,0.163194258,0.139113777,0.374745484,0.357938408,0.334863789,0.373529412,0.546624804,0.473752711,0.439942529,0.443678161,0.41461939,0.257666072,1,45870,0,425.4594438
51135,0.084801824,0.164254569,0.331789819,0.475347056,0.453627181,0.458039216,0.592883307,0.55835141,0.518678161,0.504597701,0.66520823,0.132205432,1,45762,0,69.12763402
51137,0.249772497,0.12078699,0.271494253,0.370320728,0.388827671,0.401633987,0.669701727,0.76109906,0.819971264,0.68091954,0.545072064,0.191351651,1,35798,0,126.2999992
51139,0.180434417,0.130073859,0.221215107,0.367288974,0.352464034,0.404215686,0.638932496,0.73318872,0.769971264,0.626206897,0.674942876,0.123125773,1,14499,8193,136.4394208
51141,0.692154823,0.157300766,0.239408867,0.356821446,0.337006428,0.39245098,0.626164312,0.70021692,0.699281609,0.567241379,0.786131747,0.062473533,0,104430,24502,474.077209
51143,0.124176755,0.201307461,0.283087028,0.365023137,0.343801653,0.368137255,0.704029304,0.743167028,0.75316092,0.63954023,0.599538906,0.132665329,0,206490,91854,865.4690207
51145,0.25360841,0.094211961,0.133793103,0.382256263,0.2815427,0.278594771,0.399162742,0.441503977,0.485057471,0.378390805,0.713796904,0.100882638,1,18235,71049,327.1306044
51147,0.250713961,0.14662442,0.181970443,0.385926281,0.303213958,0.333039216,0.556985871,0.61691974,0.645402299,0.512873563,0.674638856,0.13426087,1,41743,0,82.38848444
51153,0.31271334,0.132170011,0.157142857,0.336907611,0.279461279,0.323562092,0.55133438,0.656109906,0.718965517,0.545747127,0.465111499,0.08089589,1,77875,50518,1422.136298
51155,0.26975913,0.142259767,0.18955665,0.368374023,0.304407713,0.344575163,0.574986918,0.647433116,0.672701149,0.527816092,0.570031797,0.082398798,0,7535.6,253898.253,379.8990899
51157,0.55107818,0.105398034,0.180295566,0.373352481,0.270094888,0.328300654,0.459759288,0.550976139,0.608477012,0.451609196,0.688090059,0.085489096,1,6434.8,0,126.2590962
51159,0.115022321,0.133900301,0.214975369,0.363810436,0.344199571,0.409738562,0.628362114,0.719305857,0.77112069,0.631149425,0.523395881,0.236951121,1,119480,0,97.0222949
51161,0.139454637,0.16102593,0.250114943,0.361576512,0.288215488,0.398431373,0.618838305,0.648156182,0.643534483,0.541954023,0.703510374,0.037934661,0,22948,8947,166.0099659
51163,0.118812483,0.110196549,0.368932676,0.418860699,0.38781757,0.350196078,0.519623234,0.488937093,0.447844828,0.429770115,0.696855282,0.084622681,1,101030,0,404.5775485
51165,0.340953688,0.133256833,0.247323481,0.376384235,0.347474747,0.400065359,0.641025641,0.726102675,0.734913793,0.596896552,0.587453157,0.186934901,1,75759,8312,311.3934553
51167,0.393361141,0.101827136,0.152775041,0.385543322,0.277257423,0.301993464,0.427106227,0.489226319,0.53908046,0.412758621,0.613219849,0.075348373,0,12984,0,398.0275309
51169,0.097282479,0.125174069,0.383415435,0.380788256,0.365105601,0.371111111,0.511145997,0.437020969,0.393390805,0.413218391,0.734128011,0.062879856,0,20766,0,472.1939682
51171,0.324908767,0.109765581,0.242692939,0.419945748,0.291031527,0.323986928,0.384824699,0.37208966,0.339798851,0.319885057,0.617861094,0.13934903,1,40644,14649,138.2196345
51173,0.215751116,0.144645279,0.185944171,0.424509335,0.324670952,0.358006536,0.486865515,0.507158351,0.527298851,0.446666667,0.680977518,0.075453234,1,26322,0,428.6898022
51175,0.080736444,0.181835437,0.278784893,0.336205521,0.340036731,0.377647059,0.683621141,0.707013738,0.713218391,0.619655172,0.363974588,0.264080016,0,183760,507207.49,530.230046
51177,0.070652698,0.176921178,0.258522167,0.334450295,0.325130089,0.395653595,0.654631083,0.687201735,0.683189655,0.582758621,0.611570466,0.099218076,1,66726,604364,119.6142828
51179,0.246923085,0.129260573,0.314975369,0.297941599,0.358616468,0.366928105,0.70455259,0.7505423,0.835488506,0.762758621,0.621122146,0.069092922,1,44816,6013,1107.457149
51181,0.137399429,0.16981347,0.248834154,0.345843306,0.294367922,0.409738562,0.613814757,0.651193059,0.637068966,0.540229885,0.493672673,0.198127124,1,70874,487620,219.4871053
51183,0.194327625,0.124732883,0.255270936,0.373001436,0.391153964,0.406078431,0.660177917,0.754736081,0.78362069,0.64091954,0.520844047,0.153826315,0,77566,38440,108.9281578
51185,0.116529236,0.144940518,0.234318555,0.346290091,0.323538414,0.330326797,0.489481947,0.442805495,0.40704023,0.404942529,0.689146976,0.054599631,0,33012,0,564.2521386
51193,0.258949092,0.131811655,0.228013136,0.338630924,0.349739822,0.407189542,0.622396651,0.71395517,0.78204023,0.64862069,0.437404071,0.2662529,1,38471,56166,915.1806062
51195,0.155507422,0.156524192,0.268669951,0.338216052,0.365901439,0.380424837,0.704343276,0.766015908,0.77658046,0.659425287,0.753339998,0.01124744,0,21209,110467.69,336.3772563
51197,0.146350844,0.138239906,0.242364532,0.352576991,0.328374656,0.316045752,0.490214547,0.425307303,0.388793104,0.394942529,0.538870834,0.123597991,0,14780,0,508.9753195
51199,0.181789068,0.134066412,0.197701149,0.352066379,0.339516376,0.402418301,0.615803244,0.712219812,0.778448276,0.631034483,0.426107355,0.028702659,1,10947,0,177.1339247
