Biomass,Power,Water Availability,Log_Bio,Log_Water,Log_Power,FIPS,Income,DSCI,PQ1,PQ2,PQ3,PQ4,TQ1,TQ2,TQ3,TQ4,Forest,Agriculture,Watershed
0.012774451,0.49445479,0.073264308,0.137089403,0.603144231,0,51045,0.18379924,0.131102991,0.217339901,0.370735599,0.329445975,0.378660131,0.624803768,0.711062907,0.728017241,0.583448276,0.859874082,0.052224805,1
0.117719817,0.49445479,0.046030794,0.506076059,0.533824453,0,51047,0.193906576,0.096135038,0.119244663,0.367065582,0.276461586,0.26624183,0.422605965,0.432682574,0.450431035,0.385862069,0.467170739,0.247222016,1
0.234749179,0.49445479,0.053371794,0.658859012,0.555806967,0,51051,0.296547608,0.167487096,0.251264368,0.343034945,0.336822773,0.394444444,0.647933019,0.721041215,0.719252874,0.58908046,0.847149155,0.00581712,0
0.255194089,0.49445479,0.027851552,0.677938346,0.460015663,0,51053,0.070769935,0.140394833,0.30771757,0.358321366,0.458463422,0.375522876,0.737938252,0.80592914,0.813793103,0.699425287,0.656144042,0.119246266,0
0.151453573,0.521726152,0.031250305,0.560683176,0.476797285,0.871718108,51057,0.315689996,0.133180334,0.155073892,0.338056486,0.287297215,0.319705882,0.58440607,0.681995662,0.730028736,0.565747127,0.491186667,0.237377627,1
0.621834639,0.713622917,0.388124958,0.886393118,0.85564198,0.963279067,51059,0.446021653,0.151191988,0.216880131,0.380022339,0.304040404,0.373006536,0.574986918,0.623138106,0.629454023,0.532643678,0.352106331,0.00961464,1
0.120248729,0.517996397,0.39036136,0.5106208,0.856517201,0.865256662,51061,0.056850992,0.167550665,0.233793103,0.342332855,0.304254668,0.396601307,0.628571429,0.683586406,0.670833333,0.564367816,0.487013418,0.18356487,1
0.060950223,0.49445479,0.105023031,0.372364791,0.657305717,0,51063,0.32605325,0.12703005,0.260591133,0.362278602,0.371625344,0.405261438,0.64678179,0.736804049,0.80387931,0.666321839,0.656269041,0.081056623,0
0.069818642,0.50197822,0.078088411,0.398699392,0.61271123,0.815137751,51065,0.590821261,0.127647656,0.181642036,0.347853838,0.308784818,0.338235294,0.533333333,0.645553145,0.719109195,0.543793104,0.730826132,0.088714508,1
0.627657339,0.49445479,0.131090624,0.88861004,0.690790817,0,51067,0.169360598,0.16371699,0.268308703,0.397032073,0.337159474,0.412745098,0.608581894,0.626174982,0.593965517,0.526321839,0.664286277,0.121826793,0
