,Year,Coal,Petroleum Products,Natural Gas,Total,Sector
119,1985,10.01099373802026,4.528755348281175,2.67410038984,17.21384947614143,Industrial
120,1986,10.18541303305832,4.767494663006504,2.548294958,17.50120265406483,Industrial
121,1987,11.00784122474592,4.476786523649234,2.95222061728,18.43684836567516,Industrial
122,1988,11.17961396188956,4.790711489751886,2.83026740656,18.80059285820144,Industrial
123,1989,10.76750470538695,4.506887552291264,3.07027091976,18.34466317743821,Industrial
124,1990,11.0984087330811,4.249906728271531,3.97163997472,19.31995543607263,Industrial
125,1991,12.6674367251066,3.821800166781299,3.183634346199999,19.6728712380879,Industrial
126,1992,10.97388614433174,3.919865500318177,3.656572692666666,18.55032433731659,Industrial
127,1993,9.154839457921343,3.895260559775532,3.92936691664,16.97946693433687,Industrial
128,1994,9.095228572729122,3.596300515279057,4.5765400648,17.26806915280818,Industrial
129,1995,8.505327443196308,3.639007691332269,5.164988188359999,17.30932332288857,Industrial
130,1996,8.59984449691937,4.078240366278554,4.509201209333333,17.18728607253126,Industrial
131,1997,8.3148075245987,4.634521434057601,4.584371470213333,17.53370042886963,Industrial
132,1998,8.139370083179578,4.127643421942207,4.972260124333332,17.23927362945512,Industrial
133,1999,7.821446390697782,3.926914991539368,5.084222258720001,16.83258364095715,Industrial
134,2000,8.57349355674345,4.269062442539138,4.088198612097719,16.93075461138031,Industrial
135,2001,8.68665197031135,4.33284382559262,3.49743750455933,16.5169333004633,Industrial
136,2002,8.251226902455091,3.955409485001806,4.034535576917446,16.24117196437434,Industrial
137,2003,8.429361879650285,5.14484391669721,3.745860626779703,17.3200664231272,Industrial
138,2004,7.990013895615979,5.68763000123972,3.973582172131353,17.65122606898705,Industrial
139,2005,8.113089506927444,5.529284294157958,4.070880082478441,17.71325388356384,Industrial
140,2006,7.559615477449729,5.198084236016392,3.939049703172806,16.69674941663893,Industrial
141,2007,7.726520808239671,5.27567520966088,3.974772364403148,16.9769683823037,Industrial
142,2008,7.667448669449799,5.134327506628398,3.550513750589726,16.35228992666792,Industrial
143,2009,6.036450817318045,3.289584423315161,3.325686563083336,12.65172180371654,Industrial
144,2010,6.787602158090701,2.559692072789507,3.573714717143577,12.92100894802379,Industrial
145,2011,6.555929606776086,2.114351834351721,3.836230812104504,12.50651225323231,Industrial
146,2012,6.317943901615957,2.128372659632161,4.200581790231853,12.64689835147997,Industrial
147,2013,6.032543627112878,2.156070801460359,4.442606459369705,12.63122088794294,Industrial
148,2014,5.461766883580905,2.10803943253166,4.682364733065733,12.2521710491783,Industrial
149,2015,4.429609412585156,1.860179020954984,5.017108742033557,11.3068971755737,Industrial
150,2016,4.252544485435097,1.91299040610398,5.072122121279005,11.23765701281808,Industrial
151,2017,4.002019792665113,1.85363095013765,5.377532492799086,11.23318323560185,Industrial
152,2018,4.003813269997422,1.774425332124189,5.533099792672725,11.31133839479434,Industrial
153,2019,3.910746286674728,1.932619359388304,5.712982398290207,11.55634804435324,Industrial
154,2020,3.282563170687258,1.575350940848932,5.908568638867258,10.76648275040345,Industrial
155,2021,3.401418570210121,1.852675606285474,6.337328530150383,11.59142270664598,Industrial
156,1970,0.01502790666666667,31.50355288666666,0.42315262,31.94173341333333,Transportation
157,1971,0.009511333333333332,33.22476626333333,0.38911378,33.62339137666666,Transportation
158,1972,0.006657933333333334,34.18550794999999,0.4496096000000001,34.64177548333333,Transportation
159,1973,0.004280099999999999,35.40069951,0.31642336,35.72140297,Transportation
160,1974,0.002758286666666666,33.72922989333333,0.22867526,33.96066343999999,Transportation
161,1975,0.001046246666666667,33.24799771333333,0.16574052,33.41478448,Transportation
162,1976,0.0003804533333333333,34.83405731666666,0.14612312,34.98056088999999,Transportation
163,1977,0.00028534,35.64770667333332,0.14728956,35.79528157333333,Transportation
164,1978,0,36.50096816666667,0.1450097,36.64597786666667,Transportation
165,1979,0,35.66772271333333,0.21849542,35.88621813333334,Transportation
166,1980,0,33.85567929333334,0.4443076,34.29998689333334,Transportation
167,1981,0,33.82686933999999,0.5810461800000001,34.40791552,Transportation
168,1982,0,32.47682518666667,0.5952025200000001,33.07202770666667,Transportation
169,1983,0,33.50728476333333,0.39356746,33.90085222333333,Transportation
170,1984,0,33.83896068666666,0.35989976,34.19886044666666,Transportation
171,1985,0,35.31120926666667,0.24383898,35.55504824666667,Transportation
172,1986,0,37.19213296333333,0.2680161,37.46014906333333,Transportation
173,1987,0,39.80661464999999,0.3500380400000001,40.15665268999999,Transportation
174,1988,0,41.99971134333333,0.4546465,42.45435784333333,Transportation
175,1989,0,40.44709947666666,0.3228918000000001,40.76999127666667,Transportation
176,1990,0,41.01247630333334,0.38381178,41.39628808333334,Transportation
177,1991,0,40.04173099666667,0.3665386999999999,40.40826969666666,Transportation
178,1992,0,39.77598958666666,0.3554122,40.13140178666666,Transportation
179,1993,0,40.56425508666667,0.32140724,40.88566232666667,Transportation
180,1994,0,41.29039416333333,0.352583,41.64297716333333,Transportation
181,1995,0,42.05992006333334,0.3483700733333333,42.40829013666667,Transportation
182,1996,0,42.42357845,0.43501161,42.85859006,Transportation
183,1997,0,43.83895912,0.4180334766666666,44.25699259666666,Transportation
184,1998,0,44.57485193333333,0.3885267833333333,44.96337871666667,Transportation
185,1999,0,45.34005538333333,0.45204852,45.79210390333333,Transportation
186,2000,0,48.35829720333332,0.4505572133333333,48.80885441666666,Transportation
187,2001,0,48.17972415666667,0.42962106,48.60934521666667,Transportation
188,2002,0,48.33357195333333,0.4460473966666667,48.77961934999999,Transportation
189,2003,0,50.66709505,0.39494598,51.06204103,Transportation
190,2004,0,54.42820394,0.3182338866666666,54.74643782666666,Transportation
191,2005,0,55.20292272,0.28249056,55.48541328,Transportation
192,2006,0,56.46979095999999,0.3062965400000001,56.77608749999999,Transportation
193,2007,0,56.21811876999999,0.38815942,56.60627818999999,Transportation
194,2008,0,51.24086040333334,0.47309746,51.71395786333334,Transportation
195,2009,0,49.37818482666666,0.4926842066666667,49.87086903333333,Transportation
196,2010,0,51.69669464666667,0.55716144,52.25385608666667,Transportation
197,2011,0,49.45718939333332,0.7750033866666667,50.23219277999999,Transportation
198,2012,0,50.08410707666667,0.5331664433333334,50.61727352,Transportation
199,2013,0,50.10794165666666,0.4774451,50.58538675666666,Transportation
200,2014,0,51.87766221000001,0.4243965,52.30205871000001,Transportation
201,2015,0,51.47565547666667,0.45560801,51.93126348666667,Transportation
202,2016,0,53.12756060333333,0.48724819,53.61480879333333,Transportation
203,2017,0,53.60926123666667,0.53380899,54.14307022666667,Transportation
204,2018,0,54.65320230333334,0.5905814199999999,55.24378372333334,Transportation
205,2019,0,55.31846569333333,0.77645425,56.09491994333333,Transportation
206,2020,0,46.54085718333333,0.61148087,47.15233805333333,Transportation
