Year,FIPS,Income
2011,51911,32906.0
2011,51913,28925.0
2011,51918,35542.0
2011,51919,70219.0
2011,51921,40544.0
2011,51923,26342.0
2011,51929,31091.0
2011,51931,54121.0
2011,51933,28647.0
2011,51939,29524.0
2011,51941,32752.0
2011,51942,48600.0
2011,51944,42574.0
2011,51945,32571.0
2011,51947,31740.0
2011,51949,31817.0
2011,51951,43300.0
2011,51953,35639.0
2011,51955,31356.0
2011,51958,50424.0
2012,51001,35201.0
2012,51007,35473.0
2012,51009,31196.0
2012,51011,31611.0
2012,51013,83491.0
2012,51017,47882.0
2012,51019,39060.0
2012,51021,30267.0
2012,51023,42514.0
2012,51025,27679.0
2012,51027,32189.0
2012,51029,25259.0
2012,51033,36099.0
2012,51036,37094.0
2012,51037,28700.0
2012,51041,45556.0
2012,51043,52885.0
2012,51045,32750.0
2012,51047,40359.0
2012,51049,30638.0
2012,51051,28066.0
2012,51057,35621.0
2012,51061,60975.0
2012,51063,32162.0
2012,51065,36896.0
2012,51067,34500.0
2012,51071,33354.0
2012,51073,42292.0
2012,51075,81879.0
2012,51077,27727.0
2012,51079,36382.0
2012,51083,30043.0
2012,51085,48443.0
2012,51087,52241.0
2012,51091,37074.0
2012,51093,48095.0
2012,51097,34909.0
2012,51099,47422.0
2012,51101,39221.0
2012,51103,47400.0
2012,51105,26617.0
2012,51107,69127.0
2012,51109,36308.0
2012,51111,27380.0
2012,51113,40038.0
2012,51115,47508.0
2012,51117,31334.0
2012,51119,41868.0
2012,51125,41607.0
2012,51127,61034.0
2012,51131,38903.0
2012,51133,41649.0
2012,51135,28913.0
2012,51137,42268.0
2012,51139,31829.0
2012,51141,27957.0
2012,51145,43725.0
2012,51147,26061.0
2012,51155,33393.0
2012,51157,54079.0
2012,51159,29674.0
2012,51167,30015.0
2012,51169,28506.0
2012,51171,35925.0
2012,51173,30548.0
2012,51179,49490.0
2012,51181,34997.0
2012,51183,27038.0
2012,51185,33668.0
2012,51187,39780.0
2012,51193,36126.0
2012,51197,29850.0
2012,51510,80527.0
2012,51550,44038.0
2012,51650,36894.0
2012,51700,36991.0
2012,51710,35795.0
2012,51740,35015.0
2012,51760,48146.0
2012,51770,38277.0
2012,51800,45646.0
2012,51810,48178.0
2012,51901,56794.0
2012,51903,34424.0
2012,51907,36809.0
2012,51911,33750.0
2012,51913,29446.0
2012,51918,35530.0
2012,51919,72151.0
2012,51921,42026.0
2012,51923,26340.0
2012,51929,31912.0
2012,51931,55505.0
2012,51933,29637.0
2012,51939,30175.0
2012,51941,33226.0
2012,51942,48593.0
2012,51944,44999.0
2012,51945,33609.0
2012,51947,32613.0
2012,51949,34496.0
2012,51951,44229.0
2012,51953,37814.0
2012,51955,30612.0
2012,51958,51311.0
2013,51001,35412.0
2013,51007,37813.0
2013,51009,31360.0
2013,51011,32328.0
2013,51013,79021.0
2013,51017,45821.0
2013,51019,39285.0
2013,51021,30210.0
2013,51023,43119.0
2013,51025,27839.0
2013,51027,31360.0
2013,51029,25306.0
2013,51033,36734.0
2013,51036,38378.0
2013,51037,29575.0
2013,51041,45605.0
2013,51043,52961.0
2013,51045,33493.0
2013,51047,39776.0
2013,51049,31236.0
2013,51051,28212.0
2013,51057,36062.0
2013,51061,58708.0
2013,51063,31936.0
2013,51065,37748.0
2013,51067,34415.0
2013,51071,33689.0
2013,51073,41574.0
2013,51075,77645.0
2013,51077,27437.0
2013,51079,36480.0
2013,51083,30084.0
2013,51085,48636.0
2013,51087,52641.0
2013,51091,36584.0
2013,51093,48125.0
2013,51097,36116.0
2013,51099,47687.0
2013,51101,39418.0
2013,51103,46940.0
2013,51105,26430.0
2013,51107,67601.0
2013,51109,36266.0
2013,51111,27494.0
2013,51113,40899.0
2013,51115,46628.0
2013,51117,31560.0
2013,51119,40810.0
2013,51125,42694.0
2013,51127,63245.0
2013,51131,38938.0
2013,51133,41561.0
2013,51135,28408.0
2013,51137,42576.0
2013,51139,31824.0
2013,51141,27728.0
2013,51145,44060.0
2013,51147,26429.0
2013,51155,33417.0
2013,51157,53635.0
2013,51159,30160.0
2013,51167,29005.0
2013,51169,28339.0
2013,51171,36235.0
2013,51173,31081.0
2013,51179,48758.0
2013,51181,35200.0
2013,51183,27330.0
2013,51185,32882.0
2013,51187,39033.0
2013,51193,36011.0
2013,51197,29065.0
2013,51510,76080.0
2013,51550,43669.0
2013,51650,36817.0
2013,51700,36578.0
2013,51710,35099.0
2013,51740,34774.0
2013,51760,45308.0
2013,51770,37061.0
2013,51800,44627.0
2013,51810,47295.0
2013,51901,55255.0
2013,51903,32367.0
2013,51907,37107.0
2013,51911,33246.0
2013,51913,29149.0
2013,51918,35276.0
2013,51919,69759.0
2013,51921,41643.0
2013,51923,26549.0
2013,51929,31690.0
2013,51931,55418.0
2013,51933,29888.0
2013,51939,30527.0
2013,51941,32712.0
2013,51942,47790.0
2013,51944,43598.0
2013,51945,33505.0
2013,51947,33047.0
2013,51949,34604.0
2013,51951,43786.0
2013,51953,36340.0
2013,51955,29393.0
2013,51958,51450.0
2014,51001,36346.0
2014,51007,38388.0
2014,51009,32757.0
2014,51011,33537.0
2014,51013,82612.0
2014,51017,48061.0
2014,51019,40342.0
2014,51021,30660.0
2014,51023,44608.0
2014,51025,28700.0
2014,51027,31821.0
2014,51029,26407.0
2014,51033,37550.0
2014,51036,39903.0
2014,51037,30215.0
2014,51041,46476.0
2014,51043,53747.0
2014,51045,33939.0
2014,51047,40439.0
2014,51049,32821.0
2014,51051,28611.0
2014,51057,36845.0
2014,51061,59074.0
2014,51063,33367.0
2014,51065,38667.0
2014,51067,35895.0
2014,51071,35172.0
2014,51073,42343.0
2014,51075,80226.0
2014,51077,27415.0
2014,51079,37606.0
2014,51083,31198.0
2014,51085,51355.0
2014,51087,55557.0
2014,51091,38885.0
2014,51093,48100.0
2014,51097,36781.0
2014,51099,48208.0
2014,51101,38296.0
2014,51103,47964.0
2014,51105,26649.0
2014,51107,68707.0
2014,51109,37829.0
2014,51111,28906.0
2014,51113,42742.0
2014,51115,48907.0
2014,51117,32259.0
2014,51119,41687.0
2014,51125,43069.0
2014,51127,65591.0
2014,51131,39270.0
2014,51133,43942.0
2014,51135,29737.0
2014,51137,43625.0
2014,51139,33172.0
2014,51141,28950.0
2014,51145,46103.0
2014,51147,27117.0
2014,51155,34872.0
2014,51157,54341.0
2014,51159,31571.0
2014,51167,29685.0
2014,51169,29255.0
2014,51171,38190.0
2014,51173,32643.0
2014,51179,49158.0
2014,51181,36767.0
2014,51183,27224.0
2014,51185,33420.0
2014,51187,38409.0
2014,51193,37354.0
2014,51197,30852.0
2014,51510,78728.0
2014,51550,44784.0
2014,51650,37646.0
2014,51700,36920.0
2014,51710,36129.0
2014,51740,35157.0
2014,51760,47096.0
2014,51770,37702.0
2014,51800,45544.0
2014,51810,49260.0
2014,51901,57768.0
2014,51903,33613.0
2014,51907,38424.0
2014,51911,34502.0
2014,51913,30961.0
2014,51918,35030.0
2014,51919,72445.0
2014,51921,42625.0
2014,51923,27311.0
2014,51929,32979.0
2014,51931,56377.0
2014,51933,31440.0
2014,51939,31759.0
2014,51941,33185.0
2014,51942,48841.0
2014,51944,44837.0
2014,51945,35293.0
2014,51947,34648.0
2014,51949,35154.0
2014,51951,44741.0
2014,51953,36314.0
2014,51955,30107.0
2014,51958,52982.0
2015,51001,37523.0
2015,51007,40506.0
2015,51009,33852.0
2015,51011,34914.0
2015,51013,85185.0
2015,51017,51825.0
2015,51019,41942.0
2015,51021,31718.0
2015,51023,46072.0
2015,51025,29705.0
2015,51027,31263.0
2015,51029,27347.0
2015,51033,41742.0
2015,51036,41430.0
2015,51037,32181.0
2015,51041,48561.0
2015,51043,57061.0
2015,51045,36022.0
2015,51047,42096.0
2015,51049,34306.0
2015,51051,29133.0
2015,51057,37782.0
2015,51061,62099.0
2015,51063,34754.0
2015,51065,40416.0
2015,51067,37637.0
2015,51071,35851.0
2015,51073,43906.0
2015,51075,88228.0
2015,51077,28282.0
2015,51079,39498.0
2015,51083,31944.0
2015,51085,54116.0
2015,51087,57878.0
2015,51091,39730.0
2015,51093,49648.0
2015,51097,38669.0
2015,51099,51608.0
2015,51101,40759.0
2015,51103,50257.0
2015,51105,27282.0
2015,51107,71069.0
2015,51109,39619.0
2015,51111,29628.0
2015,51113,43481.0
2015,51115,50695.0
2015,51117,33347.0
2015,51119,44129.0
2015,51125,45227.0
2015,51127,68112.0
2015,51131,41316.0
2015,51133,45224.0
2015,51135,30901.0
2015,51137,45527.0
2015,51139,35075.0
2015,51141,30166.0
2015,51145,49863.0
2015,51147,28102.0
2015,51155,36184.0
2015,51157,55216.0
2015,51159,33164.0
2015,51167,30445.0
2015,51169,30068.0
2015,51171,40040.0
2015,51173,33588.0
2015,51179,50607.0
2015,51181,39937.0
2015,51183,27973.0
2015,51185,33555.0
2015,51187,41363.0
2015,51193,38288.0
2015,51197,32040.0
2015,51510,80194.0
2015,51550,46279.0
2015,51650,38946.0
2015,51700,38041.0
2015,51710,37001.0
2015,51740,35920.0
2015,51760,49380.0
2015,51770,39303.0
2015,51800,47325.0
2015,51810,51284.0
2015,51901,60654.0
2015,51903,35160.0
2015,51907,39489.0
2015,51911,34821.0
2015,51913,32215.0
2015,51918,36101.0
2015,51919,75019.0
2015,51921,44773.0
2015,51923,27725.0
2015,51929,34179.0
2015,51931,59126.0
2015,51933,32904.0
2015,51939,32872.0
2015,51941,33633.0
2015,51942,49762.0
2015,51944,47094.0
2015,51945,36236.0
2015,51947,36638.0
2015,51949,36246.0
2015,51951,46222.0
2015,51953,36603.0
2015,51955,30451.0
2015,51958,53567.0
2016,51001,39924.0
2016,51007,40489.0
2016,51009,34435.0
2016,51011,35522.0
2016,51013,86280.0
2016,51017,55057.0
2016,51019,42414.0
2016,51021,32483.0
2016,51023,46817.0
2016,51025,30679.0
2016,51027,31024.0
2016,51029,27681.0
2016,51033,39573.0
2016,51036,42807.0
2016,51037,33383.0
2016,51041,49466.0
2016,51043,60494.0
2016,51045,35221.0
2016,51047,43699.0
2016,51049,35113.0
2016,51051,29011.0
2016,51057,38784.0
2016,51061,63423.0
2016,51063,35510.0
2016,51065,41197.0
2016,51067,38567.0
2016,51071,36136.0
2016,51073,45472.0
2016,51075,88204.0
2016,51077,29299.0
2016,51079,40605.0
2016,51083,32972.0
