Year,County,Income
2019,51083,36432
2020,51083,39536
2021,51083,43237
2022,51083,44509
2008,51650,34482
2009,51650,34903
2010,51650,35747
2011,51650,36704
2012,51650,36894
2013,51650,36817
2014,51650,37646
2015,51650,38946
2016,51650,39353
2017,51650,40241
2018,51650,40557
2019,51650,41619
2020,51650,45149
2021,51650,48577
2022,51650,48525
2008,51085,45412
2009,51085,43710
2010,51085,44730
2011,51085,46997
2012,51085,48443
2013,51085,48636
2014,51085,51355
2015,51085,54116
2016,51085,55818
2017,51085,57186
2018,51085,58474
2019,51085,60976
2020,51085,65092
2021,51085,69263
2022,51085,72302
2008,51087,47629
2009,51087,44725
2010,51087,46551
2011,51087,49724
2012,51087,52241
2013,51087,52641
2014,51087,55557
2015,51087,57878
2016,51087,59606
2017,51087,62279
2018,51087,64060
2019,51087,67523
2020,51087,69268
2021,51087,74225
2022,51087,76976
2008,51929,29523
2009,51929,29133
2010,51929,30327
2011,51929,31091
2012,51929,31912
2013,51929,31690
2014,51929,32979
2015,51929,34179
2016,51929,34971
2017,51929,35768
2018,51929,36925
2019,51929,38408
2020,51929,41842
2021,51929,45512
2022,51929,47455
2008,51091,31023
2009,51091,31877
2010,51091,32817
2011,51091,36243
2012,51091,37074
2013,51091,36584
2014,51091,38885
2015,51091,39730
2016,51091,39206
2017,51091,41410
2018,51091,41597
2019,51091,43089
2020,51091,44320
2021,51091,48161
2022,51091,50481
2008,51093,44012
2009,51093,44559
2010,51093,45374
2011,51093,46880
2012,51093,48095
2013,51093,48125
2014,51093,48100
2015,51093,49648
2016,51093,51156
2017,51093,51961
2018,51093,52662
2019,51093,55316
2020,51093,57943
2021,51093,62139
2022,51093,63847
2008,51931,53226
2009,51931,50556
2010,51931,51434
2011,51931,54121
2012,51931,55505
2013,51931,55418
2014,51931,56377
2015,51931,59126
2016,51931,60952
2017,51931,62192
2018,51931,61913
2019,51931,63928
2020,51931,67364
2021,51931,73332
2022,51931,75891
2008,51097,33181
2009,51097,33763
2010,51097,33624
2011,51097,35028
2012,51097,34909
2013,51097,36116
2014,51097,36781
2015,51097,38669
2016,51097,40446
2017,51097,42646
2018,51097,44152
2019,51097,46783
2020,51097,51156
2021,51097,54839
2022,51097,55304
2008,51099,43329
2009,51099,43656
2010,51099,45651
2011,51099,46094
2012,51099,47422
2013,51099,47687
2014,51099,48208
2015,51099,51608
2016,51099,51066
2017,51099,52160
2018,51099,52842
2019,51099,55544
2020,51099,58946
2021,51099,62938
2022,51099,64018
2008,51101,38294
2009,51101,36512
2010,51101,36240
2011,51101,37022
2012,51101,39221
2013,51101,39418
2014,51101,38296
2015,51101,40759
2016,51101,43328
2017,51101,44866
2018,51101,45409
2019,51101,47242
2020,51101,49700
2021,51101,53554
2022,51101,54612
2008,51103,45974
2009,51103,43615
2010,51103,43528
2011,51103,45181
2012,51103,47400
2013,51103,46940
2014,51103,47964
2015,51103,50257
2016,51103,52184
2017,51103,55375
2018,51103,55858
2019,51103,61163
2020,51103,64049
2021,51103,69654
2022,51103,72524
2008,51105,24942
2009,51105,25421
2010,51105,25851
2011,51105,26919
2012,51105,26617
2013,51105,26430
2014,51105,26649
2015,51105,27282
2016,51105,27935
2017,51105,28721
2018,51105,29859
2019,51105,31307
2020,51105,34875
2021,51105,37809
2022,51105,38552
2008,51107,63152
2009,51107,61761
2010,51107,63771
2011,51107,66780
2012,51107,69127
2013,51107,67601
2014,51107,68707
2015,51107,71069
2016,51107,73857
2017,51107,75632
2018,51107,78609
2019,51107,81966
2020,51107,85393
2021,51107,92163
2022,51107,96862
2008,51109,35425
2009,51109,34338
